127.0.0.1 - - [08/Sep/2024:18:09:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Sep/2024:18:09:19 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [08/Sep/2024:18:09:19 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [08/Sep/2024:18:09:27 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [08/Sep/2024:18:10:03 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [08/Sep/2024:18:18:53 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [08/Sep/2024:18:56:26 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [08/Sep/2024:18:58:53 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:18:58:53 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [08/Sep/2024:18:58:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:03:49 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:04:16 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:04:16 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:04:24 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:04:26 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:22:47 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:22:57 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:23:02 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:48:04 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:48:12 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:48:21 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:48:55 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2249
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:57:43 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:57:43 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:57:51 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:19:57:55 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
