127.0.0.1 - - [23/Sep/2024:14:04:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:04:14 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:04:14 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:04:15 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:04:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:04:17 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:04:30 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:04:30 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:05:00 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:05:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:24:14 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9592
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:24:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:42:54 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7154
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:43:16 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7154
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:48:57 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9592
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:48:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:49:15 +0530] "GET /ORS_Project4/ctl/UserCtl?id=4 HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:49:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:49:53 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9592
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:49:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:49:58 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9618
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:49:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:52:44 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9615
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:52:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:58:51 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8822
0:0:0:0:0:0:0:1 - - [23/Sep/2024:14:58:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:02:20 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9587
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:02:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:07:25 +0530] "GET /ORS_Project4/ctl/UserCtl?id=4 HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:07:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:07:37 +0530] "GET /ORS_Project4/ctl/UserCtl?id=4000 HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [23/Sep/2024:15:07:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
