127.0.0.1 - - [01/Sep/2024:14:15:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Sep/2024:14:16:01 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [01/Sep/2024:14:16:01 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [01/Sep/2024:14:24:16 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [01/Sep/2024:14:24:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Sep/2024:14:26:49 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [01/Sep/2024:14:34:43 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [01/Sep/2024:17:37:09 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [01/Sep/2024:17:42:34 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [01/Sep/2024:17:44:22 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [01/Sep/2024:17:47:33 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [01/Sep/2024:17:53:33 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [01/Sep/2024:17:53:40 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:47:17 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:48:10 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [01/Sep/2024:18:48:12 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
